"name","slice","area","peri","radMean","radSD","radMin","radMax","centsize","sphericity","convexity","roundness","calliper","circularity","eccentricityboundingbox","eccentricityeigen","elongation","length","rectangularity","solidity","width","rectilinearity"
"Kidney_L_mask_RPAT_Cervix0068.mat","29/190","1818.2528203456","138.28184","24.1141505685184","1.66214988029327","20.88740060838","27.6643729155422","24.1732734734591","0.755028883978254","0.931731256906556","0.688538642724678","54.1099014020613","0.858072609386482","0.848723591329638","0.82027316360429","0.151276408670362","53.9398341490481","0.736323704966611","0.973171628077913","45.7800097547051","0.249253585903308"
"Kidney_L_mask_RPAT_Cervix0068.mat","30/190","1737.227959016","135.93808","23.5554871800134","1.68339982701112","20.2042214322869","26.634377408132","23.6039101722508","0.758576824330729","0.946736001607217","0.693448843352359","52.4080668294491","0.89337944769477","0.838950213753385","0.793318189995777","0.161049786246615","52.3158895584366","0.756577449660179","0.978723404255319","43.8904267277489","0.24916738667555"
"Kidney_L_mask_RPAT_Cervix0068.mat","31/190","1632.1702998344","132.42244","22.8282270578481","1.65782340267654","20.0407706681685","26.3899745784545","22.8716579532141","0.759408487059715","0.963868749488931","0.692844036594437","50.3363044428969","0.926736832254465","0.850329128571229","0.780925639069168","0.149670871428771","50.1581652152684","0.762948337875678","0.98385761589404","42.6509489182309","0.223282082027329"
"Kidney_L_mask_RPAT_Cervix0068.mat","32/190","1563.5051631144","130.07868","22.3318176964189","1.41926317298356","19.8123350597131","25.5208888427528","22.361272066904","0.776318379104543","0.945444258929021","0.696075815688238","49.0792521961939","0.896870125670177","0.858390678242092","0.80557454193863","0.141609321757908","48.783567597683","0.765362556897118","0.979776247848537","41.8753596772441","0.263845045208366"
"Kidney_L_mask_RPAT_Cervix0068.mat","33/190","1487.9735127224","127.73492","21.7981799870266","1.44643014646673","18.9977742102639","24.9975864719983","21.8298876214094","0.759984338149795","0.955357564721144","0.693503807015123","48.770486320938","0.913780395367262","0.853303704458736","0.785565539374647","0.146696295541264","48.752266637179","0.733672000381268","0.977416440831075","41.6004897222649","0.280836615071432"
"Kidney_L_mask_RPAT_Cervix0068.mat","34/190","1281.9781025624","118.35988","20.2613993083446","1.4069246832092","17.6693460580826","23.0695940311009","20.3032691961963","0.765914910954305","0.960822426668508","0.693628072251745","45.7633769510075","0.927899877285816","0.840527655895661","0.737224363011985","0.159472344104339","45.7422012419224","0.728944526036173","0.983149025803054","38.4475851853807","0.258961934154394"
"Kidney_L_mask_RPAT_Cervix0068.mat","35/190","1148.7677373256","111.3286","19.1590505565414","1.27918616145874","16.879404225841","21.5404958992383","19.1939995397587","0.783612610628798","0.940764514940777","0.69267488015299","42.6570758852503","0.89070707885316","0.859526734023254","0.764089009985953","0.140473265976746","42.4624511956468","0.741246608776193","0.974373907979033","36.4976119948161","0.294048973943823"
"Kidney_L_mask_RPAT_Cervix0068.mat","36/190","1008.6908584168","104.29732","17.9611793503405","1.20849490261214","15.8583824975652","20.2858729148191","17.9899401828417","0.781745136832662","0.959523790378896","0.692539930232158","40.0844633149553","0.929876774244424","0.854095158339447","0.755791555962023","0.145904841660553","39.8967776580561","0.74195263928171","0.977378576180971","34.0756446310912","0.255365271091772"
"Kidney_L_mask_RPAT_Cervix0068.mat","37/190","860.3741631016","94.92228","16.602871071869","1.09318428563841","14.7509141322415","18.6056790826885","16.6276665463189","0.792817830872208","0.951779696397023","0.693917767741358","36.7977784128118","0.920454980145069","0.843070616016385","0.748268322112825","0.156929383983615","36.5696719176256","0.76309969333065","0.97817614964926","30.8308158311097","0.241860278323759"
"Kidney_L_mask_RPAT_Cervix0068.mat","38/190","685.9647158328","85.54724","14.835228764778","1.12374547977588","12.6572349019006","17.0274975509359","14.8597723758225","0.743340873433565","0.967642024727137","0.688799663729897","33.516587486485","0.952198400027879","0.828842425457712","0.721081098959843","0.171157574542288","33.4268133419775","0.740695748630274","0.981335952848723","27.7055610456868","0.217102968045065"
"Kidney_L_mask_RPAT_Cervix0068.mat","39/190","346.0722890688","60.93776","10.5675672088003","1.01001567305023","8.82039266074607","12.2777371539204","10.5860399079363","0.718405399152043","0.959955291619111","0.670006762509132","24.385243160469","0.938752588007439","0.788587537071163","0.672853941295558","0.211412462928837","24.3721818144767","0.73880206029625","0.961832061068702","19.2195988301287","0.327143248032283"
"Kidney_L_mask_RPAT_Cervix0068.mat","40/190","199.8155478552","45.70332","8.01350461937596","0.701709455778037","6.99452254295141","9.45797984317835","8.01774912286884","0.739536630329813","0.982607455409684","0.674552731611009","18.3428233903072","1.02043981358309","0.842332167611402","0.754734853265681","0.157667832388598","18.110915341724","0.723211112956076","0.983108108108108","15.255406577221","0.299453208530818"
"Kidney_L_mask_RPAT_Cervix0068.mat","41/190","97.5044941424","32.81264","5.60208914598002","0.396253566250542","4.92691862728024","6.4221978508083","5.60573829288487","0.767170171604124","0.994310939412396","0.670175402857318","12.6758202860722","1.10214645091301","0.892280114534329","0.79480093316425","0.107719885465671","12.4528178257019","0.704673840572964","0.993006993006993","11.1114017157925","0.358397619117341"
"Kidney_L_mask_RPAT_Cervix0070.mat","39/192","723.7305410288","89.06288","15.5339334845339","2.6196211976236","10.8877208317205","19.6278453159846","15.7246149824718","0.554707898724559","0.955023995731937","0.63971448054738","38.6897916832851","0.860571282945061","0.617729120290386","0.465567109186996","0.382270879709614","38.6742087538861","0.78331411230995","0.969641214351426","23.8901849514648","0.39142208869466"
"Kidney_L_mask_RPAT_Cervix0070.mat","40/192","964.745170916","101.95356","17.821765131544","2.6371921766645","12.4953278198743","22.2320850726522","17.9995998441453","0.56204030251957","0.960538878954521","0.654764455500919","43.2326846438941","0.882176632095132","0.661413482185073","0.523464980721393","0.338586517814927","43.2284811767888","0.780548001601305","0.972318339100346","28.5919002647117","0.251901557129381"
"Kidney_L_mask_RPAT_Cervix0070.mat","41/192","1218.1195254128","114.84424","19.926127776948","2.40540991353119","15.4119724467073","24.2741534895976","20.0534825343382","0.634912869497668","0.95422836968828","0.669381556851188","47.2399930503805","0.884220636521902","0.697731789927418","0.587431708580932","0.302268210072582","47.1318822382528","0.78590821087366","0.973121228743829","32.8854125567444","0.288385833181899"
"Kidney_L_mask_RPAT_Cervix0070.mat","42/192","1376.735991236","120.70364","21.0578181590117","2.17978151412528","17.2093074239997","25.5469303909239","21.1520983320578","0.673635037973632","0.960687575895056","0.681003488672811","49.2886654024391","0.908339182092456","0.746929756143817","0.65499428725887","0.253070243856183","49.239736339026","0.760220308843677","0.979960899315738","36.7786242562945","0.226601101733925"
"Kidney_L_mask_RPAT_Cervix0070.mat","43/192","1566.2517685832","130.07868","22.4097735371927","2.10767836815276","18.6125812800021","26.8312697663503","22.4869348923893","0.693689916358137","0.947133350298325","0.686001763306763","51.4560751702187","0.886977566929224","0.786644040127595","0.69777353180294","0.213355959872405","51.3883023696726","0.753971232849375","0.981075268817204","40.4243017913778","0.233616911917712"
"Kidney_L_mask_RPAT_Cervix0070.mat","44/192","1871.12497562","144.14124","24.457365080321","2.10270419925802","20.3822274747499","28.8022518082468","24.5169299068916","0.707660901322788","0.956070896694644","0.687900457486032","55.2774690451725","0.903130341274054","0.835827310053299","0.745271301075727","0.164172689946701","55.2723369811006","0.732774897701953","0.985187861271676","46.1981287392729","0.219610406427333"
"Kidney_L_mask_RPAT_Cervix0070.mat","45/192","1980.3025430048","147.65688","25.1503390446182","2.2184891047064","20.4247363920308","29.7300319848286","25.2131078112157","0.687006875823532","0.960838327167372","0.687107545988927","56.796902407663","0.909811351785877","0.83344268067095","0.753260698963182","0.16655731932905","56.6808918773167","0.739575400990624","0.982958418541241","47.2402744690511","0.242421914981921"
"Kidney_L_mask_RPAT_Cervix0070.mat","46/192","2107.3330459368","153.51628","25.9525816782445","2.54625020578353","19.9851581577174","30.6348822556306","26.0361047333663","0.652366083569464","0.964430625721802","0.681706361046067","58.594","0.908510720704344","0.831082918054927","0.744182319284296","0.168917081945073","58.3960897140837","0.743569020507744","0.983969220904136","48.531992642578","0.240014175682702"
"Kidney_L_mask_RPAT_Cervix0070.mat","47/192","2211.7040537512","158.2038","26.5804782504654","2.73724594943172","19.5329304970668","31.5649766208507","26.6775689343608","0.618816567859076","0.955783576124226","0.676095311094876","60.0752826543763","0.884266765542073","0.843415062324067","0.751705006215777","0.156584937675933","58.7961634231323","0.758556064074291","0.976060606060606","49.5895698379372","0.221140389705075"
"Kidney_L_mask_RPAT_Cervix0070.mat","48/192","2331.8680430112","161.71944","27.2980924739164","3.00191130671337","18.9990605557563","32.3219714780373","27.421140820563","0.587806364740656","0.9567934970941","0.673802380155086","61.3420695139641","0.882022837693432","0.81440626900057","0.736883005786211","0.18559373099943","61.0930031708956","0.767149336560716","0.973903068540293","49.754524774449","0.223409130522123"
"Kidney_L_mask_RPAT_Cervix0070.mat","49/192","2501.4709307096","167.57884","28.318398835258","3.09059734181668","19.7613693390956","33.2532940010335","28.4484109201225","0.594268024649872","0.944031835243599","0.675713078094368","63.8109912749833","0.85990938460609","0.807800771251631","0.716006570664925","0.192199228748369","63.7900161146775","0.761001956218403","0.971466666666667","51.5296242155905","0.216802535513469"
"Kidney_L_mask_RPAT_Cervix0070.mat","50/192","2537.176801804","167.57884","28.5323462875693","3.12557132544779","20.1413535966902","34.0776809306514","28.6721137032263","0.591042378666498","0.954162435155845","0.675631639001535","64.8357900391319","0.877885093035737","0.800591639700446","0.702746113905986","0.199408360299554","64.7359990623981","0.756219673580115","0.972112601946856","51.8270996370118","0.213386078594582"
"Kidney_L_mask_RPAT_Cervix0070.mat","51/192","2572.8826728984","167.57884","28.75247044091","3.18541514430412","20.9244547443443","34.2664846522665","28.8988849856953","0.610639082376964","0.956015501360788","0.675716271867874","66.1359902705327","0.880946772918998","0.784205294813245","0.690137788857321","0.215794705186755","66.0641512257063","0.751724132619658","0.973499610288387","51.8078571885418","0.210009523789583"
"Kidney_L_mask_RPAT_Cervix0070.mat","52/192","2555.0297373512","165.23508","28.6856753222071","3.09935972779029","21.8938754788007","34.3906422866258","28.8345584377402","0.6366230469419","0.95400679304023","0.676640603529405","66.2915435789513","0.87822282845317","0.780522370223373","0.682748111461408","0.219477629776627","66.0369510798582","0.750648423787989","0.972040762999739","51.5433175791758","0.250479275381794"
"Kidney_L_mask_RPAT_Cervix0070.mat","53/192","2522.0704717256","162.89132","28.5277258586193","2.98806305498519","22.4934477456868","34.0994037163563","28.671995568421","0.659643433439204","0.953296595742589","0.678434923200379","66.1359902705327","0.879205355944541","0.78029283348872","0.681282561464454","0.21970716651128","65.4249976805494","0.755113383040358","0.974012198355874","51.0506568211489","0.275697863822001"
